Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"Mukinbudin",3188,
"Northam",11115,
"Toodyay",4442,
"York - Beverley",5347,
"Brookton",3716,
"Kulin",4293,
"Murray",2575,
"Narrogin",4725,
"Wagin",4937,
"Broome",13984,
"Derby - West Kimberley",7703,
"Halls Creek",3271,
"Kununurra",7150,
"Roebuck",2246,
"East Pilbara",6663,
"Newman",4567,
"Port Hedland",4362,
"South Hedland",9470,
"Ashburton (WA)",13026,
"Karratha",15825,
"Roebourne",5644,
"Esperance",12111,
"Esperance Region",3864,
"Carnarvon",5157,
"Exmouth",4326,
"Boulder",7089,
"Kalgoorlie",13933,
"Kalgoorlie - North",8842,
"Kalgoorlie Airport",4,
"Kambalda - Coolgardie - Norseman",4560,
"Leinster - Leonora",4657,
"Trafalgar (WA)",0,
"Geraldton",11790,
"Geraldton - East",7968,
"Geraldton - North",7690,
"Geraldton - South",9980,
"Irwin",3569,
"Meekatharra",3070,
"Morawa",4007,
"Northampton - Mullewa - Greenough",5942,
"Migratory - Offshore - Shipping (WA)",431,
"No Usual Address (WA)",5950,
"Bridgewater - Gagebrook",7287,
"Brighton - Pontville",5444,
"Old Beach - Otago",4338,
"Bellerive - Rosny",5935,
"Cambridge",7654,
"Geilston Bay - Risdon",3222,
"Howrah - Tranmere",10391,
"Lindisfarne - Rose Bay",7283,
"Mornington - Warrane",4700,
"Risdon Vale",3097,
"Rokeby",6109,
"South Arm",4207,
"Austins Ferry - Granton",3987,
"Berriedale - Chigwell",5520,
"Claremont (Tas.)",7746,
"Derwent Park - Lutana",4151,
"Glenorchy",11063,
"Montrose - Rosetta",4879,
"Moonah",5284,
"New Norfolk",6602,
"West Moonah",3915,
"Kingston - Huntingfield",11304,
"Kingston Beach - Blackmans Bay",10290,
"Margate - Snug",7710,
"Mount Wellington",0,
"Taroona - Bonnet Hill",3574,
"Hobart",7807,
"Lenah Valley - Mount Stuart",8320,
"Mount Nelson - Dynnyrne",4658,
"New Town",6036,
"Sandy Bay",11777,
"South Hobart - Fern Tree",6091,
"West Hobart",5876,
"Dodges Ferry - Lewisham",7534,
"Sorell - Richmond",8554,
"Invermay",3055,
"Kings Meadows - Punchbowl",4224,
"Launceston",5137,
"Legana",4072,
"Mowbray",3735,
"Newnham - Mayfield",8988,
"Newstead",5217,
"Norwood (Tas.)",3884,
"Prospect Vale - Blackstone",6418,
"Ravenswood",3627,
"Riverside",6419,
"South Launceston",4610,
"Summerhill - Prospect",4682,
"Trevallyn",4561,
"Waverley - St Leonards",3506,
"West Launceston",4136,
"Youngtown - Relbia",4644,
"Beauty Point - Beaconsfield",3760,
"Deloraine",5721,
"Grindelwald - Lanena",5708,
"Hadspen - Carrick",3241,
"Westbury",4024,
"Dilston - Lilydale",3947,
"George Town",6847,
"Longford",4014,
"Northern Midlands",3629,
"Perth - Evandale",5063,
"St Helens - Scamander",6086,
"Flinders and Cape Barren Islands",899,
"Scottsdale - Bridport",6619,
"Central Highlands",2056,
"Derwent Valley",3098,
"Southern Midlands",6058,
"Wilderness - East",16,
"Bruny Island - Kettering",2947,
"Cygnet",4233,
"Geeveston - Dover",3659,
"Huonville - Franklin",8310,
"Forestier - Tasman",2372,
"Triabunna - Bicheno",4371,
"Acton - Upper Burnie",3165,
"Burnie - Ulverstone Region",4974,
"Burnie - Wivenhoe",3603,
"Parklands - Camdale",6328,
"Penguin - Sulphur Creek",5020,
"Romaine - Havenview",3401,
"Somerset",3903,
"Ulverstone",6852,
"West Ulverstone",4187,
"Wynyard",6088,
"Devonport",13755,
"East Devonport",4712,
"Latrobe",4511,
"Miandetta - Don",3495,
"Port Sorell",5624,
"Quoiba - Spreyton",2908,
"Sheffield - Railton",6140,
"Turners Beach - Forth",3112,
"King Island",1583,
"North West",4036,
"Smithton",3885,
"Waratah",3588,
"West Coast (Tas.)",4152,
"Wilderness - West",0,
"Migratory - Offshore - Shipping (Tas.)",75,
"No Usual Address (Tas.)",911,
"Darwin Airport",17,
"Darwin City",6467,
"East Point",11,
"Fannie Bay - The Gardens",3348,
"Larrakeyah",3731,
"Ludmilla - The Narrows",2543,
"Parap",2745,
"Stuart Park",4151,
"Woolner - Bayview - Winnellie",2818,
"Alawa",2130,
"Anula",2369,
"Berrimah",1281,
"Brinkin - Nakara",3580,
"Buffalo Creek",0,
"Charles Darwin",3,
"Coconut Grove",3053,
"East Arm",9,
"Jingili",1756,
"Karama",4948,
"Leanyer",4577,
"Lyons (NT)",4799,
"Malak - Marrara",4550,
"Millner",2547,
"Moil",2000,
"Nightcliff",3853,
"Rapid Creek",3280,
"Tiwi",2561,
"Wagaman",2163,
"Wanguri",1876,
"Wulagi",2438,
"Howard Springs",6979,
"Humpty Doo",8706,
"Koolpinyah",25,
"Virginia",3294,
"Weddell",4521,
"Bakewell",3073,
"Driver",2885,
"Durack - Marlow Lagoon",4289,
"Gray",3285,
"Moulden",2960,
"Palmerston - North",4230,
"Palmerston - South",3067,
"Rosebery - Bellamack",6676,
"Woodroffe",3235,
"Charles",4257,
"East Side",5048,
"Flynn (NT)",4386,
"Larapinta",4887,
"Mount Johns",3738,
"Petermann - Simpson",2463,
"Ross",2439,
"Sandover - Plenty",4035,
"Tanami",2745,
"Yuendumu - Anmatjere",2083,
"Barkly",2539,
"Tennant Creek",2997,
"Alligator",4564,
"Daly",1836,
"Thamarrurr",2475,
"Tiwi Islands",2452,
"West Arnhem",4776,
"Anindilyakwa",2486,
"East Arnhem",7438,
"Nhulunbuy",3090,
"Elsey",2296,
"Gulf",4150,
"Katherine",9780,
"Victoria River",2489,
"Migratory - Offshore - Shipping (NT)",73,
"No Usual Address (NT)",2485,
"Aranda",2397,
"Belconnen",6651,
"Bruce",6996,
"Charnwood",2979,
"Cook",2804,
"Dunlop",7199,
"Evatt",5329,
"Florey",4769,
"Flynn (ACT)",3355,
"Fraser",2027,
"Giralang",3312,
"Gooromon",10,
"Hawker",2956,
"Higgins",3069,
"Holt",4623,
"Kaleen",7270,
"Latham",3637,
"Lawson",142,
"Macgregor (ACT)",6794,
"Macquarie",2703,
"McKellar",2749,
"Melba",3148,
"Page",3023,
"Scullin",2931,
"Spence",2584,
"Weetangera",2575,
"Molonglo Corridor",14,
"West Belconnen",16,
"Hume",424,
"Kowen",39,
"Canberra East",837,
"Canberra Airport",100,
"Majura",175,
"Amaroo",5708,
"Bonner",6730,
"Casey",5759,
"Crace",4456,
"Forde",4307,
"Franklin",6420,
"Gungahlin",6131,
"Hall",276,
"Harrison",7691,
"Mitchell",3,
"Ngunnawal",10486,
"Nicholls",6862,
"Palmerston",5529,
"Gungahlin - East",0,
"Gungahlin - West",0,
"Jacka",666,
"Kenny",10,
"Moncrieff",101,
"Taylor",0,
"Throsby",0,
"Acton",2086,
"Ainslie",5183,
"Braddon",5500,
"Civic",4275,
"Dickson",2148,
"Downer",3660,
"Hackett",2996,
"Lyneham",5114,
"O'Connor (ACT)",5477,
"Turner",4049,
"Watson",5865,
"Black Mountain",0,
"Campbell",3220,
"Duntroon",1774,
"Parkes (ACT) - North",0,
"Reid",1640,
"Russell",0,
"Deakin",2874,
"Forrest",1609,
"Griffith (ACT)",4576,
"Lake Burley Griffin",0,
"Narrabundah",5956,
"Parkes (ACT) - South",4,
"Red Hill (ACT)",3169,
"Yarralumla",2888,
"Barton",1436,
"Fyshwick",54,
"Kingston (ACT)",4425,
"Banks",4967,
"Bonython",3783,
"Calwell",5761,
"Chisholm",5118,
"Conder",5059,
"Fadden",2953,
"Gilmore",2751,
"Gordon (ACT)",7610,
"Gowrie (ACT)",3055,
"Greenway",1892,
"Isabella Plains",4403,
"Kambah",14900,
"Macarthur",1426,
"Monash",5428,
"Mount Taylor",0,
"Oxley (ACT)",1697,
"Richardson",3008,
"Theodore",3799,
"Tuggeranong",22,
"Wanniassa",7511,
"Tuggeranong - West",12,
"Chapman",2687,
"Duffy",3162,
"Fisher",3000,
"Holder",2604,
"Rivett",3190,
"Stirling",2134,
"Waramanga",2627,
"Weston",3580,
"Scrivener",4,
"Chifley",2407,
"Curtin",5234,
"Farrer",3224,
"Garran",3499,
"Hughes",2993,
"Isaacs",2345,
"Lyons (ACT)",3089,
"Mawson",3254,
"O'Malley",990,
"Pearce",2582,
"Phillip",2935,
"Torrens",2206,
"Arboretum",10,
"Coombs",1810,
"Denman Prospect",0,
"Molonglo",0,
"Molonglo - North",5,
"Wright",2755,
"ACT - South West",561,
"Namadgi",41,
"Migratory - Offshore - Shipping (ACT)",0,
"No Usual Address (ACT)",541,
"Christmas Island",1842,
"Cocos (Keeling) Islands",541,
"Jervis Bay",395,
"Norfolk Island",1748,
"Migratory - Offshore - Shipping (OT)",4,
"No Usual Address (OT)",54,
"Total",23401891,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
